labels,concept_labels,highly_common_concept,cond2,cond3,concept_is_acceptable,total_img_numbers_by_label,distinct_img_numbers_by_label
0,ambulance_and_bullet_train_concept1,False,False,True,True,"{'bullet_train': 19, 'ambulance': 4}","{'bullet_train': 8, 'ambulance': 3}"
1,,False,False,False,False,,
2,ambulance_and_bullet_train_concept2,False,False,True,True,"{'ambulance': 17, 'bullet_train': 6}","{'bullet_train': 6, 'ambulance': 11}"
3,ambulance_and_bullet_train_concept3,False,False,True,True,"{'bullet_train': 17, 'ambulance': 6}","{'ambulance': 6, 'bullet_train': 10}"
4,ambulance_and_bullet_train_concept4,False,False,True,True,"{'bullet_train': 12, 'ambulance': 11}","{'bullet_train': 8, 'ambulance': 7}"
5,ambulance_and_bullet_train_concept5,False,False,True,True,"{'ambulance': 12, 'bullet_train': 11}","{'bullet_train': 8, 'ambulance': 5}"
6,ambulance_and_bullet_train_concept6,False,True,False,True,{'ambulance': 24},{'ambulance': 13}
7,,False,False,False,False,,
8,ambulance_and_bullet_train_concept7,False,False,True,True,"{'bullet_train': 15, 'ambulance': 8}","{'bullet_train': 4, 'ambulance': 4}"
9,ambulance_and_bullet_train_concept8,False,False,True,True,"{'bullet_train': 19, 'ambulance': 4}","{'bullet_train': 11, 'ambulance': 4}"
10,,False,False,False,False,,
11,,False,False,False,False,,
12,ambulance_and_bullet_train_concept9,False,False,True,True,"{'ambulance': 22, 'bullet_train': 1}","{'ambulance': 6, 'bullet_train': 1}"
13,ambulance_and_bullet_train_concept10,False,False,True,True,"{'bullet_train': 16, 'ambulance': 7}","{'bullet_train': 11, 'ambulance': 6}"
14,ambulance_and_bullet_train_concept11,False,False,True,True,"{'bullet_train': 21, 'ambulance': 2}","{'bullet_train': 9, 'ambulance': 2}"
15,ambulance_and_bullet_train_concept12,False,False,True,True,"{'ambulance': 4, 'bullet_train': 20}","{'bullet_train': 9, 'ambulance': 4}"
16,ambulance_and_bullet_train_concept13,False,False,True,True,"{'bullet_train': 17, 'ambulance': 6}","{'bullet_train': 10, 'ambulance': 4}"
17,ambulance_and_bullet_train_concept14,False,False,True,True,"{'ambulance': 19, 'bullet_train': 4}","{'ambulance': 10, 'bullet_train': 3}"
18,ambulance_and_bullet_train_concept15,False,False,True,True,"{'ambulance': 14, 'bullet_train': 9}","{'ambulance': 10, 'bullet_train': 5}"
19,,False,False,False,False,,
20,ambulance_and_bullet_train_concept16,False,False,True,True,"{'ambulance': 21, 'bullet_train': 2}","{'ambulance': 9, 'bullet_train': 2}"
21,ambulance_and_bullet_train_concept17,False,False,True,True,"{'ambulance': 13, 'bullet_train': 10}","{'ambulance': 5, 'bullet_train': 7}"
22,,False,False,False,False,,
23,,False,False,False,False,,
24,ambulance_and_bullet_train_concept18,False,False,True,True,"{'ambulance': 12, 'bullet_train': 11}","{'bullet_train': 8, 'ambulance': 8}"
