labels,concept_labels,highly_common_concept,cond2,cond3,concept_is_acceptable,total_img_numbers_by_label,distinct_img_numbers_by_label
0,,False,False,False,False,,
1,,False,True,False,True,,
2,,False,False,True,True,,
3,,False,False,True,True,,
4,,False,False,True,True,,
5,,False,False,False,False,,
6,,False,False,True,True,,
7,,False,False,True,True,,
8,,False,False,True,True,,
9,,False,True,False,True,,
10,,False,True,True,True,,
11,,False,False,True,True,,
12,,False,False,True,True,,
13,,False,False,True,True,,
14,,False,False,True,True,,
15,,False,False,True,True,,
16,,False,False,True,True,,
17,,False,False,False,False,,
18,,False,False,True,True,,
19,,False,False,True,True,,
20,,False,False,True,True,,
21,,False,True,True,True,,
22,,False,False,False,False,,
23,,False,False,True,True,,
24,,False,False,True,True,,
