label,raw_label,most_similar_label,cosine_similarity
kit fox,kit fox,,
english setter,English setter,,
siberian husky,Siberian husky,,
australian terrier,Australian terrier,,
english springer,English springer,,
grey whale,grey whale,,
lesser panda,lesser panda,,
egyptian cat,Egyptian cat,,
ibex,ibex,lynx,0.2642149329185486
persian cat,Persian cat,,
cougar,cougar,lynx,0.46120908856391907
gazelle,gazelle,cheetah,0.41666361689567566
porcupine,porcupine,mongoose,0.35269907116889954
sea lion,sea lion,,
malamute,malamute,samoyed,0.4420429468154907
badger,badger,beaver,0.45929425954818726
great dane,Great Dane,,
walker hound,Walker hound,,
welsh springer spaniel,Welsh springer spaniel,,
whippet,whippet,briard,0.29764190316200256
scottish deerhound,Scottish deerhound,,
killer whale,killer whale,,
mink,mink,otter,0.44434699416160583
african elephant,African elephant,,
weimaraner,Weimaraner,vizsla,0.4245761036872864
soft-coated wheaten terrier,soft-coated wheaten terrier,,
dandie dinmont,Dandie Dinmont,,
red wolf,red wolf,,
old english sheepdog,Old English sheepdog,,
jaguar,jaguar,convertible,0.4281840920448303
otterhound,otterhound,,
bloodhound,bloodhound,rottweiler,0.37347307801246643
airedale,Airedale,weimaraner,0.3138132393360138
hyena,hyena,cheetah,0.4640863835811615
meerkat,meerkat,warthog,0.32487961649894714
giant schnauzer,giant schnauzer,,
titi,titi,marmoset,0.3775661587715149
three-toed sloth,three-toed sloth,,
sorrel,sorrel,pomegranate,0.34894487261772156
black-footed ferret,black-footed ferret,,
dalmatian,dalmatian,rottweiler,0.34765759110450745
black-and-tan coonhound,black-and-tan coonhound,,
papillon,papillon,scorpion,0.312824010848999
skunk,skunk,weasel,0.4063790738582611
staffordshire bullterrier,Staffordshire bullterrier,,
mexican hairless,Mexican hairless,,
bouvier des flandres,Bouvier des Flandres,,
weasel,weasel,skunk,0.4063790738582611
miniature poodle,miniature poodle,,
cardigan,Cardigan,sweatshirt,0.5119245648384094
malinois,malinois,doberman,0.36268043518066406
bighorn,bighorn,bison,0.4035426080226898
fox squirrel,fox squirrel,,
colobus,colobus,macaque,0.42289045453071594
tiger cat,tiger cat,,
lhasa,Lhasa,torch,0.3534127175807953
impala,impala,minivan,0.3725651800632477
coyote,coyote,badger,0.45712125301361084
yorkshire terrier,Yorkshire terrier,,
newfoundland,Newfoundland,schooner,0.2874799072742462
brown bear,brown bear,,
red fox,red fox,,
norwegian elkhound,Norwegian elkhound,,
rottweiler,Rottweiler,doberman,0.5893593430519104
hartebeest,hartebeest,colobus,0.3564568758010864
saluki,Saluki,briard,0.32663634419441223
grey fox,grey fox,,
schipperke,schipperke,,
pekinese,Pekinese,basenji,0.38625624775886536
brabancon griffon,Brabancon griffon,,
west highland white terrier,West Highland white terrier,,
sealyham terrier,Sealyham terrier,,
guenon,guenon,patas,0.37164947390556335
mongoose,mongoose,centipede,0.4351305067539215
indri,indri,jacamar,0.3579786717891693
tiger,tiger,leopard,0.4807854890823364
irish wolfhound,Irish wolfhound,,
wild boar,wild boar,,
entlebucher,EntleBucher,,
zebra,zebra,leopard,0.5016782879829407
ram,ram,pickup,0.343860000371933
french bulldog,French bulldog,,
orangutan,orangutan,chimpanzee,0.5066068172454834
basenji,basenji,cardoon,0.4116135239601135
leopard,leopard,zebra,0.5016782879829407
bernese mountain dog,Bernese mountain dog,,
maltese dog,Maltese dog,,
norfolk terrier,Norfolk terrier,,
toy terrier,toy terrier,,
vizsla,vizsla,weimaraner,0.4245761036872864
cairn,cairn,obelisk,0.30063387751579285
squirrel monkey,squirrel monkey,,
groenendael,groenendael,,
clumber,clumber,vizsla,0.2834034562110901
siamese cat,Siamese cat,,
chimpanzee,chimpanzee,gorilla,0.5368155837059021
komondor,komondor,,
afghan hound,Afghan hound,,
japanese spaniel,Japanese spaniel,,
proboscis monkey,proboscis monkey,,
guinea pig,guinea pig,,
white wolf,white wolf,,
ice bear,ice bear,,
gorilla,gorilla,chimpanzee,0.5368155837059021
borzoi,borzoi,basenji,0.33940255641937256
