images,concept_nos,img_filenames,overlaps
n03032252_17822,,,0.0
n03032252_17822,,,0.0
n03032252_17822,3.0,007_0.npy,0.007095279467130032
n03032252_17822,,,0.0
n03032252_17822,,,0.0
n03032252_17822,,,0.0
n03032252_17822,7.0,030_0.npy,0.09716188821314799
n03032252_17822,8.0,009_0.npy,0.1232261801332175
n03032252_17822,9.0,033_0.npy,0.10932522444251376
n03032252_17822,,,0.0
n03032252_17822,11.0,017_0.npy,0.07746886765131769
n03032252_17822,12.0,033_0.npy,0.0008688097306689834
n03032252_17822,,,0.0
n03032252_17822,14.0,001_0.npy,0.07529684332464523
n03032252_17822,15.0,036_0.npy,0.05270779032725167
n03032252_17822,,,0.0
n03032252_17822,,,0.0
n03032252_17822,18.0,017_0.npy,0.035621198957428324
n03032252_17822,19.0,017_0.npy,0.10628439038517232
n03032252_17822,20.0,016_0.npy,0.09498986388647553
n03032252_17822,,,0.0
n03032252_45313,,,0.0
n03032252_45313,2.0,033_1.npy,0.01958413926499033
n03032252_45313,,,0.0
n03032252_45313,,,0.0
n03032252_45313,,,0.0
n03032252_45313,,,0.0
n03032252_45313,,,0.0
n03032252_45313,,,0.0
n03032252_45313,,,0.0
n03032252_45313,,,0.0
n03032252_45313,,,0.0
n03032252_45313,12.0,015_1.npy,0.11750483558994197
n03032252_45313,,,0.0
n03032252_45313,,,0.0
n03032252_45313,15.0,024_1.npy,0.12620889748549324
n03032252_45313,,,0.0
n03032252_45313,,,0.0
n03032252_45313,,,0.0
n03032252_45313,19.0,038_1.npy,0.20938104448742748
n03032252_45313,20.0,033_1.npy,0.0456963249516441
n03032252_45313,,,0.0
n03032252_85230,,,0.0
n03032252_85230,,,0.0
n03032252_85230,3.0,004_2.npy,0.165984165984166
n03032252_85230,4.0,032_2.npy,0.08408408408408409
n03032252_85230,,,0.0
n03032252_85230,6.0,002_2.npy,0.1021021021021021
n03032252_85230,,,0.0
n03032252_85230,8.0,005_2.npy,0.552006552006552
n03032252_85230,9.0,031_2.npy,0.08244608244608245
n03032252_85230,,,0.0
n03032252_85230,11.0,035_2.npy,0.004641004641004641
n03032252_85230,,,0.0
n03032252_85230,,,0.0
n03032252_85230,,,0.0
n03032252_85230,,,0.0
n03032252_85230,,,0.0
n03032252_85230,,,0.0
n03032252_85230,,,0.0
n03032252_85230,,,0.0
n03032252_85230,,,0.0
n03032252_85230,,,0.0
n03032252_31438,,,0.0
n03032252_31438,,,0.0
n03032252_31438,,,0.0
n03032252_31438,4.0,026_3.npy,0.0821294280625371
n03032252_31438,,,0.0
n03032252_31438,,,0.0
n03032252_31438,,,0.0
n03032252_31438,8.0,017_3.npy,0.2226400158321789
n03032252_31438,,,0.0
n03032252_31438,,,0.0
n03032252_31438,,,0.0
n03032252_31438,,,0.0
n03032252_31438,,,0.0
n03032252_31438,14.0,032_3.npy,0.08133781911735602
n03032252_31438,,,0.0
n03032252_31438,,,0.0
n03032252_31438,17.0,016_3.npy,0.16722738966950326
n03032252_31438,18.0,027_3.npy,0.13457352068078368
n03032252_31438,,,0.0
n03032252_31438,,,0.0
n03032252_31438,,,0.0
n03032252_44492,,,0.0
n03032252_44492,,,0.0
n03032252_44492,,,0.0
n03032252_44492,,,0.0
n03032252_44492,,,0.0
n03032252_44492,,,0.0
n03032252_44492,,,0.0
n03032252_44492,,,0.0
n03032252_44492,,,0.0
n03032252_44492,,,0.0
n03032252_44492,,,0.0
n03032252_44492,12.0,036_4.npy,0.018386491557223265
n03032252_44492,,,0.0
n03032252_44492,,,0.0
n03032252_44492,,,0.0
n03032252_44492,,,0.0
n03032252_44492,,,0.0
